,JUNB,CCL5,S100A4,JUN,KLRB1,FOS,RGCC,ZFP36,GNLY,KLF6,ANXA1,YPEL5,LTB,NFKBIA,CRIP1,CD69,ACTB,FTH1,CXCR4,ZFP36L2,IL32,TRBC1,DUSP1,ACTG1,KLF2,TRBC2,TNFAIP3,VIM,NKG7,LMNA,H3F3B,TSC22D3,EEF1B2,BTG1,PABPC1,RPL21,SRGN,EEF1A1,ZNF331,RPS5,GAPDH,RPS13,PPP1R15A,DUSP2,TRAC,NPM1,RPS12,EEF2,NR4A2,PNRC1
JUNB,0.0,0.050207782266676264,-0.000687850159338161,0.07464070684791314,0.012470702615136876,0.11615456820204635,0.0,0.09881335231666906,-0.0016005209064580148,0.004567321464064212,0.010631029215667318,0.08375875616287813,0.002253934102320541,0.025851974831688964,0.014891182250351584,0.007290702861824955,0.0,0.11422013099974,0.06668771332796487,0.045742848294494334,0.006249035868410693,-0.003294710782389331,0.0880346556741359,0.0,0.023335544426091974,0.0,-0.010841847638890716,0.005761216058347411,0.0,0.0,0.033112555201504315,0.0004697669814890131,0.023370387525616217,0.015875474353693655,0.0023352307193689483,0.0,-0.00044839933634350376,0.0,0.1192802367669791,-0.001259930286540999,0.011437634670869307,0.0,0.034252957649845955,0.07474141440063345,0.001468281293414489,0.0,0.0,0.0,0.07984063233022104,0.0066739366762550625
CCL5,0.035450245219436155,0.0,0.05321685338587705,0.0,0.0619679396930055,0.0003687458567195774,0.011043397655985391,0.014486854335730711,0.14838641605268793,0.029149261292256104,0.0,0.03880719489052839,0.033983647722547666,0.008774526790850891,0.019288957630459125,0.0,0.0,0.014596766333116823,0.04873327555535497,0.04853339506783973,0.08493438053360317,-0.004178549439920894,0.0,0.0,0.014000629589078844,0.0034947266653563474,0.0,0.043875194936637545,0.46939369366233596,0.008731233999119858,0.0,-0.013324170014226786,0.0,0.0,0.0024788116518687266,0.0,0.0,0.0,0.0,0.0,0.0,0.015259839014805042,0.0,0.08762759896705924,0.0,0.041255429872600606,0.0,0.025347041029384173,0.0062272494371806925,0.01909596777622835
S100A4,0.0,0.05171081318480977,0.0,0.0,0.11678001982309458,0.0,-0.0021666850282306997,0.009713636971279816,0.04774551231919843,0.06041637098568956,0.06750112500885226,0.05691459903533168,0.023323334032446626,0.0,0.14809088670573117,0.0,0.08551463484686238,0.0,0.0,0.0007111792871043844,0.14831116126138413,0.0,-0.00098693707282349,0.027327283175971467,0.0026501205546293834,0.004593897411847209,0.0,0.06254738707269539,0.017801539139101524,0.1530456034213035,0.0,0.0,0.04670977416997997,0.0,0.057774876133154004,0.0,0.017929296938685894,0.0,0.03376903830454618,0.0,0.09976281670853886,0.0,0.0,0.0,0.04250141097032821,0.0,0.0,0.0,-0.007183014200810975,0.02229121622880313
JUN,0.10091346919227002,0.0,0.0,0.0,0.0,0.2433696289396641,0.01603703720202945,0.04207635730485724,0.0,0.08292423310697405,0.0,0.0,-0.011190100793682633,0.008948970438124142,0.0,0.07824543735005036,0.0,0.023076434299452983,0.0016958159973331532,0.0,0.0,0.0,0.1852070988946048,0.002561330063439857,0.0,0.0,0.0,0.0,0.012511171475994058,0.05872864626475073,0.014204157112673844,0.043337104464348956,0.0,0.02084153513216554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021211216754712072,0.023596707711317957,0.0,0.0,0.0,0.0,0.0,0.0
KLRB1,0.0,0.12546865102523974,0.20781942801846945,0.0,0.0,-0.02923762085269098,0.0,0.001330755039955748,0.013774562451295087,-0.0012417556234042937,-0.005339623321374665,0.05445853647397529,0.1278189170821274,0.0675833596335668,0.036875666481450596,0.0,0.0,0.0,0.0,0.010803201510272505,0.045380348896578854,0.0,0.007064170348995559,0.006224308704128394,0.06427165665542044,0.0,0.016861632497350523,0.0,0.0,0.0,0.0,0.005549392870241377,0.0,0.0,0.0,0.01060601046233532,0.0,0.025550938496309454,0.05603115039001977,0.0,0.01039950719475316,0.0,0.0,0.0,0.01481387143954066,0.0,0.0,0.006320024290269775,0.029252629724311526,0.0
FOS,0.12874192527519826,0.0,0.0,0.20374164008962514,0.0112595843015041,0.0,0.0,0.09763274427558404,-0.0004448807966151131,0.1028551965103407,0.0014736271084362137,0.010941005165081166,0.0002191562995291019,0.0,0.0,0.06437058223333622,0.0,0.03515205481434049,0.0,-0.02335455516583832,0.005332116968268233,0.003430350441939483,0.20708655256089675,0.0,-0.015693567766600455,0.017859429262551515,0.0,0.0,0.0,-0.0008714145406675056,0.027049095474615835,0.0,0.016632561115266835,0.0,0.0,0.0,0.0,0.022272929309996553,-0.0004957058163920603,0.0,0.0,-0.007595276937416727,-0.0055605383770988654,0.0,0.0,0.0,0.05571747863877518,0.0,0.008908056558870173,0.03753578232029748
RGCC,0.0,-0.009054689683016991,0.0,0.008433373528792122,0.0022251958790134173,0.0,0.0,0.028410228120471104,0.0,0.0,0.025192067658258495,0.1013983317109222,-0.013168110365791645,0.03046983013493073,0.0,0.011391395237895606,0.03238731572360465,0.05893222643569343,0.035743895500442754,-0.003034205097786233,0.0,-7.072270414462495e-05,0.0,0.0,0.02719582312306014,0.0,0.043281228061327615,0.019855386624220085,-0.012943934640110231,0.08125735531696007,0.034252893319844914,0.028461744364977257,0.0,0.026416398727938283,0.02638309335208932,0.0,0.0,0.0,0.03773153876268369,0.017328258487313425,0.0,-0.00822113526991358,0.043531839988851004,0.0,0.0,0.01771284635827952,0.0,0.0,0.04715253083904939,-0.007482874401572248
ZFP36,0.1441218158395243,0.045629676878685015,0.02249311526497077,0.0461359440083803,0.010432471794610786,0.10625477831909623,0.016735009527246006,0.0,0.021224544721670572,-0.014167521694001813,0.01862937548492715,0.0,0.0,0.030850835033977276,0.011444214885222985,0.0,0.0,-0.016117818167964253,0.013429730726448163,0.030495889515297487,0.0,0.0,0.04933308557622815,-0.005314450387980953,0.0,0.0,0.04084509257611555,0.0,0.0,0.06068492235312037,0.01071114714942633,0.0,0.0,0.00552766847052572,0.0,0.03212490538766243,0.03238312556881116,0.0,0.03528267483571783,0.0,0.0032803084611478504,0.0,0.03133166691076274,0.10199489608611334,-0.0007448078894704609,0.0,0.0,0.0,0.010975598438125459,0.0
GNLY,0.0,0.1439751717326793,0.0548707030203525,0.0,-0.0062403038496161465,0.007265320367142781,0.0,0.003695685285717309,0.0,0.0,0.0,0.0,0.03472149053486376,0.0,0.011139493578822095,0.0,0.012345799917170844,0.0,0.0,0.0,0.0,0.0,0.0,-0.00015126734717778808,0.0,0.0,-0.014792535429055856,0.0,0.5673357312209816,-0.0019146682042810192,0.0,0.0,0.0,0.0,0.03910467753954629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0231762088253773,0.0,0.0,0.0,0.0,-0.0032297018470885857,0.0
KLF6,0.0,0.029871283426056203,0.08590967824060726,0.10300674873282376,0.0,0.11855611587470667,0.0,0.0,0.0,0.0,0.08727322145840063,0.012401353825672532,0.0383363365388472,0.020011325368337104,0.0577804626193608,0.07103883735029867,0.0,0.0008878904924257878,0.0,0.0052623442136077656,0.0,-0.022629362305693096,0.07291726492348385,0.0,0.006593804403416582,0.0,0.0,0.0,0.0,0.06006175172226018,0.0701131054727007,0.0,0.005185243625494826,0.0,0.0,0.0,0.0134282402515071,0.0,0.06940461709836053,0.0,0.01977521362367693,0.021001505482055285,0.014321598467414641,0.0,0.0,0.04054511186138204,0.0,0.0,0.0,0.0
