,JUNB,CCL5,S100A4,JUN,KLRB1,FOS,RGCC,ZFP36,GNLY,KLF6,ANXA1,YPEL5,LTB,NFKBIA,CRIP1,CD69,ACTB,FTH1,CXCR4,ZFP36L2,IL32,TRBC1,DUSP1,ACTG1,KLF2,TRBC2,TNFAIP3,VIM,NKG7,LMNA,H3F3B,TSC22D3,EEF1B2,BTG1,PABPC1,RPL21,SRGN,EEF1A1,ZNF331,RPS5,GAPDH,RPS13,PPP1R15A,DUSP2,TRAC,NPM1,RPS12,EEF2,NR4A2,PNRC1
JUNB,0.0,0.05442282514794265,0.006539376645876796,0.07684027248723908,0.009961691160611725,0.11552791549547223,0.0,0.10217942331063651,0.0005099532670492336,0.0008744047789991783,0.006389564032483484,0.0814881999867779,0.004883404823793963,0.026292923724435213,0.014612407557080985,0.020297739051103568,0.0,0.11066825796023196,0.06680878812604843,0.04526398568694758,0.004362643557738756,-0.00527471768607815,0.0876104634846434,0.0,0.022138513826619396,0.0,0.0048404044283056275,0.005977341119427939,0.0,0.0,0.03186311490331663,0.0030402597316036544,0.02453987527552432,0.03277072844045742,0.0,0.0,0.0,0.0,0.12985443412610315,0.0,0.011552482433471695,0.0,0.03333208137546779,0.06690696050062392,0.00040645922697844154,-0.01016413314807765,0.0,0.0,0.07386346008161868,0.007657729633458525
CCL5,0.0295865540473972,0.0,0.05449994462505393,0.0,0.06245066706355745,0.015881605068790015,0.009405683274857171,0.03459736194705201,0.1491585748029752,0.031941212341488896,0.0,0.038389025461719975,0.034741537776262016,0.009332833907069427,0.020057810396455288,0.0,0.0010343882057519686,0.013356800956172117,0.030123195965733124,0.04993175467342311,0.08597292915800443,-0.0035493513435624776,0.0,0.0,0.01158798354863688,0.004314338355818676,-0.00299352747366393,0.04449077631819617,0.47031370978451603,0.00983113119731524,0.0,-0.019805904544233276,0.0,0.0,0.0022536447516082418,0.0,0.0,0.0,0.0,0.0,0.0,0.01160816457665981,0.0,0.09069891807564627,0.0,0.04244662203777591,0.0,0.025071064673770713,0.008148358689151487,0.018124200608577237
S100A4,0.0,0.0568439463738943,0.0,0.0,0.12153383482370655,0.0,0.0021608995178216033,0.008488534956484587,0.061983101766597576,0.05949929855008789,0.06555421138162469,0.06058245504021618,0.020360027518681854,0.0,0.15372110474658018,0.0,0.0863112671748841,-0.000256302032439721,-0.007548754261434402,0.0,0.1436766104862909,0.0,0.0,0.02800954223380269,0.0018832832985548453,0.001548084781258003,0.0,0.07417883123638516,0.012295072046424283,0.15232079886444083,0.0,0.0,0.046169324496464624,0.0,0.056503534480062706,0.0,0.016752612495023994,0.0,0.03319765155136486,0.0,0.09944669099728219,0.0,0.0,0.0,0.042670236751865376,0.0,0.0,0.0,-0.0036227705898214824,0.02171841007654117
JUN,0.10162943168782153,0.0,0.0,0.0,0.0,0.24158534754473832,0.014986351337149392,0.04200302370133983,0.0,0.08264467311039196,0.0,0.0,-0.0006251081547047324,0.008974709729936888,0.0009158826376280938,0.08312399245414243,0.0,0.02442786180688061,0.0017906706092418697,0.0,0.0,0.0,0.1918883482186897,0.001399918998265286,0.0,0.0,0.0,0.0,0.015948383838197803,0.05912842643796068,0.01513986191225733,0.04322186474227244,0.0,0.020193336231473038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026146188633168834,0.02409119690636442,0.0,0.0,0.0,0.0,0.0,0.0
KLRB1,0.0,0.12493572434471707,0.2038883292980171,0.0,0.0,-0.0006224215124732424,0.0,0.0005337334445553589,0.015023971145682631,-0.009835951509373395,0.013410287631744022,0.054496989939481086,0.12726532134885712,0.06550475272257598,0.034063015945067,0.0,0.0,0.0,0.0,0.010266192694769888,0.04507945422388025,0.0,0.008418873576166854,0.006231700022509224,0.06349774839949583,0.0,0.015233830353671875,0.0,0.0,-0.011790942076989275,0.0,0.005796556049105948,0.0,0.0,0.0,0.007830347214550977,0.0,0.025230148645274054,0.05547671081298344,0.0,0.009854247787798176,0.0,0.0,0.0,0.014346730019554612,0.0,0.0,0.006341489245626746,0.029717798812773907,0.0
FOS,0.12911324380252212,0.00762267298959328,0.0,0.20398444181589304,0.014828898665370785,0.0,0.0,0.09933583816973932,-0.016749892868879453,0.101909618543862,0.002210391257613368,0.014306439106825278,0.0035511598041878434,0.0,0.0,0.06426017134070829,0.0,0.03560298216063637,0.0,-0.011288709666274616,0.00586845454360012,0.002976826254281913,0.23282368318104074,0.0,0.0,0.01786226465668696,0.0,0.0,0.0,0.0055714232103497635,0.026908925857193036,-0.0011718336825359118,0.015231188306952994,0.0,0.0,0.0,0.0,0.019745327903866423,0.0005644582319901921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04970028563923373,-0.001250228941381331,0.008417491752803569,0.03772930116791108
RGCC,0.0,0.009130197430548043,0.0,0.005925437930180746,0.00337521954022451,0.0,0.0,0.029398315138062354,0.0,0.0,0.023030837287484122,0.10351899295707298,-0.009687970234582783,0.041547499267872,0.0,0.012099292335801547,0.03204017392813913,0.0560516635669952,0.034291402050221804,0.0,0.0,0.0,0.0,0.0,0.02555834577217005,0.0,0.043559137735364004,0.018142600631560306,-0.01723267051613931,0.0814751288893996,0.03331459140474484,0.02793793384382509,0.0,0.05062839907818171,0.02337381341220097,0.0,0.0,0.0,0.048829190649680276,0.004866843371884904,0.0,-0.033734228847878626,0.055319128603859576,0.0,0.0,0.016243676446162703,0.0,0.0,0.045738961691892094,0.014483572971278271
ZFP36,0.14642431608211834,0.04700190061529795,0.014672279586885897,0.0491469822744285,0.0085202815846395,0.1071841354609857,0.024258772533440918,0.0,0.022199897877829673,0.00033962195420424965,0.018103992409470027,0.0,0.0,0.043828047899026494,0.010553894608132988,-0.00033539110494290776,0.0,-6.110465157973741e-05,0.012395167274472808,0.02774783338855336,0.0,0.0,0.04912228745121061,0.0,0.0,0.0,0.035642176460153795,0.0,0.0,0.06089610702081707,0.01316324143170755,-0.00156714093322673,0.0,0.006171022238997347,0.0,0.027222389302688534,0.030011869829124207,0.0,0.036751490234969424,0.0,0.004096194576950646,0.0,0.029219820889523962,0.12793784831659022,0.0,0.0,0.0,-0.00779983438059414,0.02108317611339867,0.0
GNLY,0.0,0.13849405384212254,0.05304047870391659,0.0,0.007168898877047981,0.00868302233936984,0.0,0.005437316537900648,0.0,0.0,0.0,0.0,0.030090049760921167,0.0,0.01048697029063376,0.0,0.011615751063644666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.564723520550653,-0.013556913979792662,0.0,0.0,0.0,0.0,0.03542991776629165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022929753023977147,-0.00046716972556260606,0.0,0.0,0.0,0.0,0.0023792446106621944
KLF6,0.0,0.030010213252335518,0.08313798066735473,0.10386926480990874,0.0,0.12122190684581073,0.0,0.0,0.0,0.0,0.10311223232858056,0.010514834737605694,0.03844531003429351,0.022799905178894214,0.08007069594869595,0.08586214786026974,-0.0018035814696460949,0.00037602157008631413,0.0,0.003150970119535826,0.0,-0.019656668986695134,0.07373168853809789,0.0,0.006788615746555143,0.0,0.0,0.0,0.0,0.0668320573539042,0.07098115469021458,0.0,0.006318717616453039,0.0,0.0,0.0,0.020744026792805376,0.0,0.06949630980947323,0.0,0.018378281684838876,0.02778330631688572,0.01767807070098217,0.0,0.0,0.04138451713956024,0.0,0.0,0.0,0.0
