,JUNB,CCL5,S100A4,JUN,KLRB1,FOS,RGCC,ZFP36,GNLY,KLF6,ANXA1,YPEL5,LTB,NFKBIA,CRIP1,CD69,ACTB,FTH1,CXCR4,ZFP36L2,IL32,TRBC1,DUSP1,ACTG1,KLF2,TRBC2,TNFAIP3,VIM,NKG7,LMNA,H3F3B,TSC22D3,EEF1B2,BTG1,PABPC1,RPL21,SRGN,EEF1A1,ZNF331,RPS5,GAPDH,RPS13,PPP1R15A,DUSP2,TRAC,NPM1,RPS12,EEF2,NR4A2,PNRC1
JUNB,0.0,0.04815677282929479,-0.04756971726889859,0.19641629297293497,0.026549541457110627,0.4119510278655657,0.0016339058590895592,0.4430422099167831,-0.01893876742584373,0.013931916641962474,0.01958897113326011,0.5442443088226767,0.012689765907783484,0.09589150818499753,0.030487470359564076,0.12732148747603594,0.010396604447325847,0.5174441361020113,0.27831833053227456,0.15517794848763491,0.023216947188802312,-0.015348874838999568,0.38366562162131057,-0.00848360882433762,0.07785194165042834,-0.010384920724102648,-0.06479864204380849,0.016048675455411925,0.0038489819506587857,0.002745784605223438,0.38690437334956757,0.017675775064737633,0.0197248964020697,0.27790429958841095,0.013668326884029552,-0.005553298633368928,-0.011075918769337365,-0.001989331003491197,0.4393009613308944,-0.012429107345080279,0.025845649460936777,0.0027912783807547137,0.17177375270679054,0.1918714312052812,0.013919351582737651,0.006682700883241975,0.003868130621588137,0.008528180268902842,0.3642271488567829,0.06835170843543521
CCL5,0.025481953396915592,0.0,0.1373679438323817,0.004361891820669318,0.12210264321274374,0.027236936856060046,0.02447665166533543,0.053463256968403185,0.17217963790296711,0.05220721353777538,0.009522569310099803,0.060313574795153035,0.040313449478935164,0.01767868312705563,0.02168731319497206,0.007125559549981117,0.013598250808587576,0.028817733791294833,0.037597256628459086,0.048123177824061204,0.13504439779720998,-0.015825481916666138,0.006281442903901366,-0.0011152093609204704,0.030483319319370688,0.021225305908137523,0.01295198197095292,0.05016119881790555,0.33777115866854734,0.027732503627944934,0.008357476636920082,-0.025180713804724152,0.008889082637148812,-0.007744825574092457,0.03967619196445215,0.0107574572934399,0.012543119044433431,-0.012241062912108962,0.008416671203459125,0.008146612862733868,0.011401812154692673,0.0629512110747792,0.003071984045173356,0.11131827479357877,-0.011310057651090239,0.08645737357074912,-0.012341616332673439,0.05647711258514747,0.016871797874714694,0.036723653222256306
S100A4,0.01177267852810868,0.2567802548459827,0.0,-0.008127576156315283,0.33073265491100284,-0.00645665676959329,-0.01791878517370366,0.02078060609117228,0.18046745749536025,0.20935132281934482,0.21397280760423953,0.09627196707643662,0.029752763504357363,-0.013194708439919342,0.43538927862477456,-0.008554162123474969,0.21955746818846184,0.013304463373905655,-0.008011882272122144,0.01579788421558264,0.34631660804587344,0.0051833371448961685,-0.016198600072793317,0.058508280707103726,0.02255281602255343,0.02002210365497033,-0.005157531075569865,0.1015849766045561,0.1165430639213968,0.3226198265790884,-0.00812133523115363,-0.008017008516914857,0.04067858482864105,-0.00740434263545826,0.06618751445591085,0.007655859657117192,0.030918334889409305,0.01013990903168012,0.07527692004897998,0.014061932424891632,0.27738743462372367,0.0013819552473886567,-0.005682568070344866,0.006897974752740481,0.05991335052871514,0.01003984839012141,-0.006312969608948611,0.007850970209158837,-0.022830538305225592,0.03135959983331308
JUN,0.2453308772887055,0.014521042792051042,0.008431686319434833,0.0,-0.008714457626630888,0.4915024606232538,0.024575384524752053,0.12037340502581759,0.00687727155846095,0.15331488794188336,0.018558271910735863,0.012456293727300788,-0.027388605816453193,0.029119995823582528,0.01815345369335533,0.16181178622139816,0.014809332749407033,0.027029110444513692,0.02142257721543336,0.017113462013534985,0.013253787449014974,-0.006292924800197495,0.32058987830471947,0.01878453450108572,-0.006228347402776363,-0.008655823493524284,0.009459760578388945,0.008880161674157328,0.03139038196200375,0.04414181803578452,0.11195152670337416,0.07877051501571693,0.012110894493369728,0.051678356814480506,-0.0025432931631703495,-0.0034128955307546473,-0.014367879131566839,0.008906279964017374,0.010457999249117583,-0.011627921844612744,0.008610245635135839,0.004398254293039691,0.07250387434926127,0.05435280991979897,-0.014492773623555246,0.010035498953691527,-0.008334782162911045,-0.007382891019764407,0.015085443907824424,0.0027604046802311506
KLRB1,0.020294877620126398,0.1513989841881249,0.1846368639014724,-0.004331438792365985,0.0,-0.06965544671577369,0.016946006867083106,0.02568362854658358,0.038825173105903464,-0.0338501163036335,-0.09210222748191824,0.04752249317842415,0.11404153069018659,0.09367685441598218,0.09766292348545857,0.023475717435401822,0.016163154393796942,0.008509431364918319,-0.012460058359981515,0.03407890217248594,0.1437389316539142,-0.019969263438328128,0.02918340431905323,0.0274538498907481,0.08256330150534051,0.022058260085225358,0.03700915372241225,0.013708124531493787,-0.02063434707083395,0.01174675942759267,0.004711810525593821,0.02745893972625555,0.022076197782236025,0.008288522521699255,-0.003918964285718843,0.02464451378284304,0.016656857128301446,0.03471012107052458,0.0935170480156923,0.006875474687212808,0.039254975034107534,0.007084432680438989,0.01176346543294494,-0.007872959862230971,0.03371563536478856,-0.024142870634341857,0.010109129713029583,0.027812776515328753,0.04429445922581145,-0.010176032898643165
FOS,0.31371073488961143,0.015653780417450063,-0.001735580343741054,0.3886249361420561,0.03689626551651202,0.0,0.014506958092453608,0.24438127076695992,-0.016361135728510594,0.22061993039545763,0.017566978200369975,0.023286280291688805,0.028013990532935795,0.005143272999836999,0.006742659101171591,0.15768783718076207,-0.013163137620258301,0.02590393532739797,0.012035571404968571,-0.04111155937830897,0.02341019501231948,0.01882904486760684,0.5045196140117942,0.006319902404810533,-0.026680462775790496,0.028507181198509236,-0.013773921645260284,0.015004973030139885,0.015164589060166773,0.022395409397540828,0.13562193009070098,0.008667211899105978,0.03424589426815358,0.012839425645507973,0.010145575358844255,-0.013119230715076178,0.013371397575749417,0.06636543586501345,-0.017019390222436818,0.012099682212872177,-0.006760113561119414,-0.019054916924612177,-0.023140754464105788,0.007778018332671893,-0.009282372124186646,-0.0022386210874986833,0.09397053829148153,0.005508218666802394,0.022115548421626843,0.02899512390347144
RGCC,0.32845983640522,-0.06170587740452022,0.01851964923009483,0.02196402793078348,0.02018473115467917,-0.01334309126767433,0.0,0.13131836793507298,0.00033232409489834775,0.011837834567744112,0.06227820709487726,0.46557890255742085,-0.07496385321493171,0.2000589940229355,-0.018947175064888355,0.05536935052072158,0.031858921351885686,0.36076577370691615,0.17940944663820543,-0.029258036365403122,-0.012070025508806637,-0.01986883546396491,-0.005589232270476686,-0.007058495714493574,0.10406532129554712,0.003702732665692475,0.2646883670745201,0.052655906745112016,-0.07557784398090885,0.14192952961256342,0.25531586596762457,0.1420071494142216,0.00997003898022945,0.3277730096734383,0.18687578656850234,-0.0033217026781553615,0.015490192242154964,-0.005378635356773331,0.13327078704986087,0.053590742402982686,0.008719727963428762,-0.08678395576957759,0.25027368417458534,-0.008505222439874265,0.015076510538366584,0.06458863734040807,0.0020977862404738556,-0.005073894636807017,0.16310919912816088,-0.18863934335178384
ZFP36,0.39619307693321226,0.09083050069923836,0.09933798369470816,0.13144134873631552,0.029295404707985542,0.3743455643323588,0.08100085605050351,0.0,0.048117142461478295,-0.10497311183278045,0.11357092274654176,0.0074438480188415,-0.004281491861685354,0.32677534791451485,0.04879111022549151,-0.008183556813363245,0.013001818192086284,-0.15380708443734367,0.06651735066341297,0.1362142399842175,-0.009318521351033842,0.013483547301171335,0.29508069465586256,-0.020375020699428495,0.016454551941728117,0.007395657107691403,0.2043201292328655,-0.00975739131566071,-0.0054536924163185565,0.24231695625132985,0.3061133108540272,0.005340197215730519,0.006642580682113543,0.020461073748424756,-0.0034499269480169057,0.0280850301794817,0.2076717058934419,-0.01583246202720332,0.05181838306353785,-0.0076385824109061395,0.01788087041426274,-0.005962740849633306,0.15772236218394917,0.3621132954951967,-0.01664728312758348,-0.009849780533447101,0.004589169063300821,0.008344444777841515,0.0930743627121456,-0.007674319344022598
GNLY,0.007992629953729445,0.1013176439920507,0.06323179789789826,0.009157385805390819,-0.027403872969412036,0.018999542059101336,-0.006541572198566493,0.018543954434139632,0.0,0.007769505141213735,0.009806997473416068,-0.0032061365927136664,0.030399025681506812,0.004701841103261417,0.029218249428657802,0.01118568278114379,0.021413007407151678,-0.0040478779265318765,0.011279060388862366,0.00024288370755317954,-0.006370452318301742,0.00545406387043496,0.008790215356473693,-0.014316563026691516,0.0008630376673093677,0.013642842240023776,-0.024168606330432225,0.008274421463874027,0.2972750479269038,-0.01731057172840558,-0.00413640967955307,-0.0059176758777474995,0.00891897827817807,0.006481215913493711,0.0466774697727646,0.007932283054546446,-0.004211332778412281,0.0029144487377219357,-0.0034066638476893123,0.0029725506243667454,-0.011939006433602864,0.004047313358712408,0.011211602071635086,0.024559725065264177,-0.006617899849844143,-0.006029197014490949,0.0020904390033451097,-0.010666015611463697,-0.014834034497078152,0.013911883276604343
KLF6,0.015665538630558685,0.07177136084929746,0.2898554460472842,0.2627691622106642,-0.01786628661470985,0.36507783224842594,-0.017829899747563042,0.0077201553746752,-0.006273343531081027,0.0,0.3609076691230592,0.027437049599049065,0.04364490960448824,0.06585223662199259,0.2719060835063198,0.223738605903476,-0.019632403777671628,0.020402429296863235,0.014400329822549547,0.023471995390537844,-0.014370447261654257,-0.040910024535071005,0.3345460545581746,-0.004904719592107082,0.023776061823277187,0.01800064588326625,0.0035752227987668906,-0.008793291006336544,-0.010954093318059068,0.14487839138645256,0.2669112979087219,0.01738788290594117,0.028278946760701997,0.013660940319974956,0.015668164438913394,-0.003484243737156584,0.05920897465341659,-0.007652318394072447,0.0713186898145919,0.002493040291652558,0.049033408568264124,0.036201640077450886,0.0469451774939289,-0.01269480912293092,-0.019338214970365617,0.04962695924060645,-0.005049195581920537,-0.005558808230550081,-0.0067580904496459815,0.007997841591972865
