,JUNB,CCL5,S100A4,JUN,KLRB1,FOS,RGCC,ZFP36,GNLY,KLF6,ANXA1,YPEL5,LTB,NFKBIA,CRIP1,CD69,ACTB,FTH1,CXCR4,ZFP36L2,IL32,TRBC1,DUSP1,ACTG1,KLF2,TRBC2,TNFAIP3,VIM,NKG7,LMNA,H3F3B,TSC22D3,EEF1B2,BTG1,PABPC1,RPL21,SRGN,EEF1A1,ZNF331,RPS5,GAPDH,RPS13,PPP1R15A,DUSP2,TRAC,NPM1,RPS12,EEF2,NR4A2,PNRC1
JUNB,0.0,0.04895058413050945,0.03780782983304703,0.24551088349018244,0.0237875729844935,0.4028837408211067,0.0025032002547955303,0.4430812874187324,0.017602702386231836,0.012532336916158378,0.01682847747904184,0.5442443088226767,0.015068092245325133,0.12183498771313749,0.02596940538266553,0.10347523262917767,0.009858286831961665,0.5174441361020113,0.27660881475537785,0.1575016558952794,0.021741526677482213,-0.017126527644541385,0.3768083488455756,-0.0077840839461407975,0.0609003955785112,-0.00923513058753411,0.02375004750211821,0.015932537458317728,0.0031903377867816113,-0.005378130018543146,0.3854229877689953,0.022273840159881157,0.017843958744865798,0.19675414373061761,0.011285763771406537,-0.006309094493247601,-0.006104273583330802,-0.0018195104964832088,0.4239858934320341,-0.003325827567202523,0.025679027718583124,-0.0030155492547289733,0.12596865883554176,0.16779054190908982,0.012640099835464437,-0.017740755599925582,-0.008833071203203341,0.006529064259110107,0.35172260313347187,0.04721510798206138
CCL5,0.023281080369218946,0.0,0.1373679438323817,0.007726058984229817,0.12210264321274374,0.028599274985379106,0.02162885025530303,0.05346325696840321,0.17217963790296711,0.05220721353777538,0.011447526436357765,0.060313574795153035,0.0428323966546041,0.02203970090323953,0.02363048703874603,0.005709014122835917,0.014460519392393404,0.02483407725469562,-0.037721104519767824,0.04812317782406121,0.13504439779720998,-0.015788381668246032,-0.007479335256387527,-0.007174354521996328,0.032953623049901105,0.01853300963011813,-0.014717992754355105,0.050161198817905574,0.33777115866854734,0.030782424004834674,-0.012000057443303822,-0.03008829907099397,0.007951700586557258,0.004739692590198083,0.03669820894099136,0.01202210189493227,0.011885123284809451,-0.010720645203687564,-0.012126451891651738,-0.011808829306027445,0.011426064119218007,0.0629512110747792,-0.002099459927483042,0.11131827479357877,-0.00539278095095176,0.08645737357074912,0.005380223011257589,0.05647711258514747,0.01641020501223024,0.03306340218163335
S100A4,0.009731248898904069,0.24065630146806852,0.0,0.005226991493061785,0.33073265491100284,-0.006720829991142887,0.017776043120432045,0.020199568872555848,0.16697372528689744,0.208129534807883,0.21042511454955648,0.08975260911289487,0.02304682527880402,0.0010214075374323742,0.43538927862477456,-0.007323894577346865,0.21525540492124315,-0.015829364448987533,-0.021435856692590828,0.014316132446978368,0.34631660804587344,-0.004792454935097524,0.010027398554820054,0.05734785478378438,0.021293343864915014,0.019584174435649,0.005705359780103422,0.09950870675822503,0.1041907438642777,0.3226198265790884,0.003499905543727684,0.005060133399369373,0.039266609584884545,-0.0009423158144385043,0.06330103467267172,0.006866201910700317,0.027885091614874485,0.010741606903573158,0.07395498720234507,0.012573399902119132,0.27738743462372367,-0.0016214389713255489,-0.009818107043937475,-0.01387625774210146,0.058355838032185414,-0.013331204520156768,0.003113718620147955,0.008262180979921964,-0.017912070326388196,0.030194959540778138
JUN,0.2453308772887055,0.01558001790826263,-0.009043093237531382,0.0,-0.0040996020239921676,0.4915024606232538,0.0217907006997309,0.11898475007289736,-0.013015469207691715,0.15331488794188336,0.01833226554186408,0.011734255805255603,-0.018904637300157696,0.027450934729452,0.019893061933891336,0.16181178622139816,0.013723992637876761,0.026926898357724324,0.020339365366902524,0.016699420756648892,0.01489371172604087,-0.0038538513355767935,0.32058987830471947,0.020148559191513777,0.0032105016265869166,-0.0062415815018305575,0.007659984057072839,-0.017548249573898517,0.03162044744876991,0.04048663663476336,0.11210616680798483,0.07939975800864146,0.012096432763279897,0.05167852437830997,0.0021055197762377656,-0.0018203740749452122,-0.016012462859420554,0.008785839269957872,0.010253527935378526,-0.0067285831040860495,-0.017752787093552044,0.004934835219444135,0.0748985553334,0.054326181158389296,-0.010693211102691766,0.009659133224502306,-0.004933671299408203,-0.011430725209443817,0.016169918292275515,-0.003808934953343152
KLRB1,0.019752035330011554,0.14172040855848764,0.1868475267485382,-0.005382253874522398,0.0,-0.049316982260901664,0.020611231145525065,0.025479159072331288,0.0384697737439941,-0.07611771516403622,0.06656291977513301,0.05454539177833009,0.14033001961128452,0.09158683676313552,0.09533336508687629,0.024053982400225198,0.015814559603989725,-0.013311509208443779,-0.010146655530795173,0.03391240419829954,0.09551765591575216,-0.01807379198667044,0.034737897071806426,0.02715124933216787,0.0796726043156399,0.02166371219971386,0.03828280704510356,0.014332175581056096,0.016188096950549312,-0.0507655790740745,0.004266132863672817,0.02750450370207127,0.02214174082078094,-0.0111847984761964,0.004455301038129211,0.024169855239657586,0.015420140615340066,0.03658598811159296,0.09092272240680883,0.006072265051737996,0.038753252571461096,0.006631093816554433,0.01058995203564048,-0.009841925504861878,0.029259204614508674,-0.0213542982064179,-0.015222426121763374,0.027903601311855777,0.04144556468290793,-0.011190723552444683
FOS,0.31371073488961143,0.020433299038125328,-0.002997875555623405,0.3886249361420561,0.04040082396555309,0.0,0.015618215139564693,0.22672162244491084,-0.025081231985150495,0.22255088459566455,0.01889538893310032,0.022616156078832814,0.02670732864071023,-0.011165978495997752,0.006128908833649419,0.16304035697511535,0.01226121128804889,0.02630992556195054,0.013109387464533613,-0.03754752933830624,0.026401835299769062,0.017564562113557676,0.5045196140117942,0.007750510585129091,-0.011563543874950337,0.02888777563028562,0.0028303995537884512,0.013566292827976674,0.007788964283908419,0.023815651849261956,0.13632090319308426,-0.017055715501478944,0.03399980398179532,0.013330265822188688,-0.008051320432809216,-0.005142621709567533,0.01402165840710545,0.041898135617294906,0.016610965242842446,0.009786778084548503,0.005862813968542938,0.005038195405212153,0.012765553313714722,-0.002006222638938682,-0.014129208768047928,0.0023966345932667776,0.12260284053303058,-0.01742229603873922,0.0210855353229592,0.0322569218087109
RGCC,0.31620568006862515,0.04681597651269806,0.01903139372867015,0.01967199123490268,0.02260733387756364,0.014194465873598659,0.0,0.12408234333321633,-0.0069139204048016285,0.010209267378461244,0.05513069735488311,0.465578902557421,-0.05385031394358291,0.17784702223766322,0.008885059631991897,0.062167072903860095,0.030900413995759556,0.3782274961590704,0.1672491253167453,0.009443786858289322,-0.008191621725478625,0.016799731634965488,-0.00859638637619759,-0.004685810206520756,0.07417507846302832,0.005843684212360042,0.2920294173849787,0.03639989029407113,-0.0703561954347237,0.12545286448063805,0.20975459852258233,0.13927800802530516,0.005989995060477065,0.2943494359651134,0.14972167067719888,-0.003304062422567009,0.018132887833476045,-0.005255822765531835,0.13372417335167056,0.02505414564058963,0.006613808946999945,-0.09933040680411107,0.2280449625497812,0.00801798564744311,0.014871647012745128,0.05764499993776499,-0.0036326220222267194,-0.005412363492238763,0.15510099751795367,0.1340070362265052
ZFP36,0.39411130009938783,0.07452154933410027,0.09576424097703322,0.1267939889215778,0.029534701590193224,0.3742353421139192,0.07153988468257393,0.0,0.045665999575264876,0.02674212440415384,0.11956744704324195,0.006558051597394065,0.004659397281308032,0.3257040416740548,0.04913325435514773,-0.01538058689897895,0.014303458184209809,0.04266720734458894,0.06588771002999469,0.12014170279920855,-0.005718095494504297,0.01133280258168906,0.2639827116459558,-0.01335652263066461,0.013822418490795527,-0.010061954773527476,0.18626721225844228,-0.005532047674811334,-0.004359704496797502,0.23796673746169617,0.30524311805768106,-0.01788307955578351,0.006707175790456964,0.022547844155532876,0.0030582442490146014,0.024534872024065645,0.1894608620702441,-0.009885706549694843,0.05490892191922715,-0.004092323109538089,0.02145747415712678,0.004766643896716082,0.12873558904012686,0.36181324168731066,0.013668915278170022,0.007925793562849932,-0.005567111888712937,-0.020003240911394538,0.09444288713030835,-0.00248744656953488
GNLY,0.005277968486856196,0.1013176439920507,0.0695555640646526,-0.009669517170697452,0.02313252387873327,0.019141078047182517,-0.00737170626328483,0.01602804646812899,0.0,0.008859949247213025,0.011282727047767437,-0.0022065625332219566,0.029970248706357918,-0.0045616962389540714,0.02936766081940703,-0.010555063687757778,0.021592532531410632,-0.0017301346386025592,0.00959466388590525,-0.00035235693863585644,-0.002783655314916581,0.006912257092983941,0.00855699559099731,0.011555996786456501,0.0023049944018809243,0.013741229717527885,-0.010307466769711676,0.008821670040431474,0.2972750479269038,-0.027771616417251933,0.0014596728102225722,-0.0030074596537446045,0.010581110252478518,0.005280242096502979,0.0449264429262476,0.009248564846997261,-0.0012672989432349082,0.0021540526133526144,0.0030283279920946785,-0.008283403150702069,-0.0022550512940976717,0.0029651787087759973,0.009870371245223539,0.02351382756930225,-0.013873124102028001,-0.0057862447511866115,-0.00463332735407876,-0.010429559050447717,0.007681840338650479,0.014964837102576187
KLF6,0.014536745102357583,0.06452279037600452,0.2898554460472842,0.2627691622106642,-0.01595479488171626,0.36507783224842594,-0.01876334688666869,0.01086363620404806,0.006447701903061544,0.0,0.3609076691230592,0.025120769832173682,0.04142778812271056,0.0716648235218612,0.2719060835063198,0.22373860590347602,-0.021313250421658048,0.018850432803229827,0.015051311841067715,0.022574214419875727,-0.01419925523092973,-0.029777577325226394,0.3345460545581746,0.004222879524470016,0.022689917215193933,0.018035173490765357,0.004495770280499303,-0.004983360860901132,-0.006523081972969953,0.09000227048781591,0.2669112979087219,0.018428593991250786,0.02675917769732705,0.012068705243680273,0.01721174336702005,-0.006598315150915787,0.05915623749399794,0.0060284321701569565,0.07156786105975668,0.0017874997306676593,0.04743165984522967,0.040759435393874825,0.04941957112382362,-0.009790699430394916,0.009755386242387618,0.05162984530020922,-0.005336757010179911,-0.006212007585139489,0.001605165847424776,-0.009093712371659438
