,JUNB,CCL5,S100A4,JUN,KLRB1,FOS,RGCC,ZFP36,GNLY,KLF6,ANXA1,YPEL5,LTB,NFKBIA,CRIP1,CD69,ACTB,FTH1,CXCR4,ZFP36L2,IL32,TRBC1,DUSP1,ACTG1,KLF2,TRBC2,TNFAIP3,VIM,NKG7,LMNA,H3F3B,TSC22D3,EEF1B2,BTG1,PABPC1,RPL21,SRGN,EEF1A1,ZNF331,RPS5,GAPDH,RPS13,PPP1R15A,DUSP2,TRAC,NPM1,RPS12,EEF2,NR4A2,PNRC1
JUNB,0.0,0.46048486295771895,-0.009811852885552974,0.4998660505990741,0.12900515205588026,0.4999999878883349,0.0015633943597376243,0.49999932667908376,-0.0024003351999494216,0.07225432393156117,0.11026344765446083,0.49980661481284183,0.04248930430372422,0.28951472360095165,0.19182666831934037,0.059469201364091395,0.02892740686589146,0.4999999747930678,0.4995107498142526,0.4841575781230898,0.05689123708639254,-0.028244261348892796,0.49997852695335865,-0.00821247545849757,0.21095617306022862,-0.009341898820832695,-0.06593771777183688,0.131885448526477,0.001607826775861243,-0.0028832397198601534,0.349604332662915,0.009187055527538956,0.3594478605014154,0.23574035813383265,0.018312769983922617,-0.03475056623870021,-0.08468139411503361,-0.004748688145148172,0.49999999999978195,-0.11317985634166372,0.086460025481638,0.003513335317474331,0.37986343299105874,0.4999774415869468,0.036194886685577465,0.009361597487852147,0.004867636462168257,0.02919696624955781,0.49999864853131626,0.032160150781153196
CCL5,0.3844833226674471,0.0,0.4608334932077679,0.010984997283230435,0.49830945576270635,0.014825897325612125,0.12483604429563055,0.23493638159512276,0.4999998929390248,0.38076031104640784,0.015636384420559035,0.3641935485309704,0.41293439795057885,0.0922359098189871,0.34651337266236804,0.020332847970978785,0.07079609620255634,0.12037118523554924,0.49273972016013234,0.48933226613382563,0.4999989954650421,-0.07994744429244227,0.0061734395466361836,0.0037521094847166037,0.10246703895310794,0.020285879776115845,0.025741573624530667,0.4802735276953364,0.4999999999999062,0.09547467206940141,0.025520011553730182,-0.15821051429572297,0.03259589150858622,-0.016685979503904602,0.06743717864459686,0.07271172400326797,0.04822183589737894,-0.13121473078837453,0.02576217304238082,0.034745744983398,0.016410574790677868,0.32690415632889536,0.0025583547227998604,0.4999880298063599,-0.030698053081389176,0.45098632661534555,-0.12460145453648175,0.31170409951431055,0.16083340429725523,0.24374935768092132
S100A4,0.05038473968901924,0.47671850065407373,0.0,-0.003747699332020127,0.49999999999244027,-0.012238928175912878,-0.012439661809827807,0.1404261604579512,0.48235944817047505,0.49753081582164005,0.4994427598843457,0.4908611811172845,0.31629210611353153,-0.030248084290748656,0.4999999999999061,-0.010591704112530964,0.4995767762232668,0.10005465010000869,0.008178844551637088,0.06622399382364264,0.4999999999999062,0.0029692342427534157,-0.024388332846048355,0.25579482746824656,0.031224160818366986,0.0024391664502244614,-0.000684421968845661,0.4998362350892439,0.13447560840723705,0.4999999999999062,-0.01038464486452273,-0.009060129589263388,0.4805678765154797,-0.009304373617545436,0.48880831160127935,0.08262394025992237,0.2100824310275281,0.3262299750114126,0.35919903016813204,0.12508428424910722,0.4999999976507511,0.001928656934900963,-0.0023599696515459456,0.0057048778869922545,0.491012341191034,0.02211192109342841,-0.03163614376391877,0.012071116436939255,-0.07567754259636594,0.33618359823594424
JUN,0.49998518366368816,0.030005697721854907,-0.010549435056553369,0.0,-0.0048581127145981284,0.4999999999999062,0.18929301111385455,0.4313432728068989,-0.0003877992446935652,0.49999957607354717,0.031311593267522864,0.022513057214706866,-0.10174464750550927,0.03800369945561932,0.012873505598871127,0.4999044178457317,0.03519682956590198,0.3745217648413466,0.026991355798258065,0.020970442484766982,0.014428651421755201,-0.0012767114958170955,0.4999999999999062,0.053197840996997314,-0.0008590062836310031,-0.0027190876382100493,0.005898524740591826,0.006923794831177776,0.056345382864411375,0.49865348833164236,0.08358440346048024,0.45375546552977797,0.02037597101618638,0.16877022254558793,-0.0005086607553255185,-0.005740568222004416,-0.02734105999534031,0.02067883925762448,0.009320604841475677,-0.05576738783811419,0.001939224640292725,0.003247850885596426,0.19487911964216498,0.16465977787092811,-0.01147477735571878,0.007674207963808133,-0.02546499333722585,-0.005982160836438322,0.05265235038253657,0.0018058074854114814
KLRB1,0.09069220967781644,0.499996691867737,0.4999999999999062,0.006319564826444024,0.0,-0.2891894572168612,0.028161503433296042,0.0785022653791907,0.12276240527892812,-0.032404139233868756,-0.06843799636241732,0.45536409954083557,0.4999999998317909,0.49788857623661553,0.3923667509195936,0.08592491130203306,0.09139041751980947,0.0333477628051998,-0.00943740323563258,0.2612705700316088,0.41532505089454774,-0.039202586624396574,0.17638209547452643,0.3330658000004967,0.4915469391256353,0.10770513749279553,0.28872387160673463,0.05236393548527041,-0.04044756996907761,0.03364166848515149,0.002684627875253698,0.16390333245067734,0.24481810233165824,0.013317721347980815,-0.0035874301729984515,0.49880961633861365,0.0717003959477317,0.49817500010566185,0.4736195948548646,0.03128616157774278,0.08822066996003852,0.04814287761790381,0.027003801245982673,-0.00340087095605901,0.2838899545383994,-0.16765541459608435,0.11281493744817139,0.16981260412214316,0.36368620407006524,-0.012873369403058277
FOS,0.4999999890485951,0.022135895891573165,0.004812686567086333,0.4999999999999062,0.04022224735428426,0.0,0.02580329677841875,0.49999953341204817,-0.0014383338324773787,0.4999999969185547,0.019484746146953058,0.057023493782132006,0.00037171349196718495,-0.003478471054664034,-0.0008936724148865816,0.4968421686890999,-0.0010733919061518549,0.4527941530298446,0.015160504607035663,-0.15295430382419384,0.022924372758279854,0.027113048568468412,0.4999999999999062,0.007213610812913385,-0.11942192492869375,0.18259609906901553,-0.021050123845880342,0.021950642807508247,0.04585153312313084,-0.028459100834917095,0.19082646059362263,0.0060620643982890465,0.07644156451082185,0.024289158079600304,0.01237427590662954,-0.020783094989873407,0.015731444325032817,0.0847988865587912,-0.003683335569688584,0.015340663952579603,-0.0019643751832235656,-0.03276439980278134,-0.01858976556127878,0.005388379160027323,0.0006932320883794585,-0.0010162323913559534,0.30785155568121103,0.0007560208613330843,0.05952958775727657,0.4417978266622845
RGCC,0.03236439286935311,-0.1068596650746999,0.2315279451981015,0.3525364821479754,0.065089433142551,-0.001514961698870887,0.0,0.44557923349773054,-0.005269666288589936,0.03342876422625862,0.3780962114898856,0.4999808364916636,-0.180897223964967,0.4398482309845868,-0.10299790608836756,0.2830836683077915,0.49356068809571474,0.45813402428234085,0.4284133944595133,-0.041691332664578584,-0.08639489144587043,-0.015096074634405099,-0.02876880788722913,-0.030029479922684454,0.3437729838054857,0.0036622263688504963,0.4723429832501391,0.3666648018786075,-0.06231247385392713,0.4999985941100956,0.44817786041925844,0.3963619072393587,0.01791070619464774,0.416258156568175,0.19621810602552858,-0.01515296540551292,0.06316379571954656,-0.03526617515898001,0.467358210867716,0.1562495644986298,0.0247238972976066,0.017753607849583353,0.49043435884038467,-0.01699355818380721,0.04328180106376489,0.22536161420711465,0.008018074827516153,-0.015415753866173887,0.4865224000512125,-0.1014709229484081
ZFP36,0.499999983252001,0.44339315816569647,0.2463195856395255,0.45454332159357036,0.0904220180302765,0.4999998773317337,0.27611951388532785,0.0,0.17774500996028197,-0.09343608012741311,0.1702951901217321,0.03140223952284826,-0.0054222390672211684,0.4636119665998012,0.15807395233624,-0.014245683108815355,0.05968898395176592,-0.22300887288624693,0.14581642397161776,0.4108474690329069,-0.007434815768135983,0.020356158224605236,0.47153205486889005,-0.09329418028674408,0.1462178277759717,-0.00011383181696666966,0.46487525347982717,-0.018003325222244793,-0.029474142783823543,0.4996844949266327,0.08035793583094575,0.004404440156629996,0.014571472296096122,0.13853021503982466,-0.0033998834140052114,0.2693091301605395,0.3598719215385956,-0.17536727651871253,0.4457315503194925,-0.04398872554065325,0.09714880128781289,-0.0056330642538895415,0.39660662639150146,0.49999999994357114,-0.011343030038664992,-0.006752990080562071,0.011007753489244765,0.03159042212573082,0.111402533357154,-0.007243411116652276
GNLY,-0.0006138953341143782,0.4999999992836316,0.49741360881789487,0.0021713226374838746,-0.014493295875706469,0.05584655449642861,-0.00280351498848741,0.06414851567435198,0.0,0.00175809957037798,0.00552200655958901,-0.00035122308337065533,0.3855681084254161,0.0020508002983685714,0.04383878757482185,0.0031500444676045847,0.039993701543579174,6.20278433814958e-05,0.0062376092831638585,-5.284525671389595e-05,-0.000997077809086866,0.0014125341375792466,0.010193800113072471,-0.0018205320293198657,0.00019000764672783,0.008079209036114143,-0.2131310405407858,0.0013065663098003055,0.4999999999999062,0.004516939965444777,5.7007103033579476e-05,-0.0022358874951436958,0.015380994859830466,0.001103262840854824,0.4279638468547289,0.006844133612142533,9.105542322790372e-05,-0.0005263343071114646,-0.0007154953771005834,-0.005410013820461801,-0.006094021532578542,-9.270497993263405e-06,0.0028572663462793635,0.3446820618948777,-0.0004146732406771214,0.004218892157447751,0.003941105067117534,-0.034729765280129166,-0.030767665484133677,0.03424120580789869
KLF6,0.24813963699965536,0.43060903043162124,0.49972058336885283,0.49994979440488685,-0.236182837667557,0.499999999491461,-0.042897809122844466,0.016059639900455558,-0.004605411199484322,0.0,0.4999995114993566,0.3511736566148651,0.49386940866000595,0.2673181160883119,0.4998252290437276,0.4998067145671399,-0.13090014368712777,0.22208003897804274,0.11273344740210056,0.2918768425419713,-0.14473377527583686,-0.40632755187483627,0.49954197579276916,-0.0022250985781550048,0.3494997809444239,0.06305779546041468,0.0005308770843637234,-0.017184096733948495,-0.11173275009328076,0.4977502402300392,0.4993817435498329,0.040418093572603286,0.11173018023954384,0.08885154038881904,0.04356964087604065,0.007958483488461732,0.16981876286505282,-0.024938693922013977,0.4999536674807703,0.012870736073465006,0.2647051292934952,0.16142198501112714,0.1667991579402519,-0.013912420590888264,-0.04689601190814485,0.44353223058894775,-0.003525557433679327,-0.011890592650087184,-0.008298054961040857,0.03740422066064386
