,JUNB,CCL5,S100A4,JUN,KLRB1,FOS,RGCC,ZFP36,GNLY,KLF6,ANXA1,YPEL5,LTB,NFKBIA,CRIP1,CD69,ACTB,FTH1,CXCR4,ZFP36L2,IL32,TRBC1,DUSP1,ACTG1,KLF2,TRBC2,TNFAIP3,VIM,NKG7,LMNA,H3F3B,TSC22D3,EEF1B2,BTG1,PABPC1,RPL21,SRGN,EEF1A1,ZNF331,RPS5,GAPDH,RPS13,PPP1R15A,DUSP2,TRAC,NPM1,RPS12,EEF2,NR4A2,PNRC1
JUNB,0.0,0.4878491473450939,0.10478144662734379,0.4990645227393249,0.1185600480641269,0.4999999999902097,0.002520057207739179,0.4999999988655822,0.00852057447414778,0.091510524021167,0.1197668113364807,0.49999552963530725,0.036781199103348206,0.2854872124611143,0.22211561746152808,0.16121833179229406,0.02618603107590256,0.49999999993477584,0.49905240989089517,0.4941738486232242,0.03768570592437648,-0.04861015797599788,0.49999994413272786,-0.002170679450024915,0.2433780272564645,-0.0012617734572857309,0.025471066460049818,0.1452603179861317,-0.008372797752161265,-0.015103476215178713,0.2941663584182851,0.0062592919269507385,0.3015222607882142,0.4142429013867699,0.036628490708039974,-0.035888455324389223,-0.004606294777123043,0.0009754448107661684,0.4999999999999062,-0.004232849579049458,0.13637233207191357,0.004304012161527315,0.3062019833850128,0.49999879182542706,0.036794151647086326,-0.11090886147974732,-0.05648812608379439,0.013939424089716379,0.4999996514979492,0.05644324009976953
CCL5,0.38472082628816007,0.0,0.47199392698011344,0.02524304008456979,0.49816266710823787,0.16378328755413274,0.11893087849954864,0.4212422446022758,0.49999999999956035,0.40090726378136965,0.011842265243923289,0.39188983705255165,0.43035373669864074,-0.11719382759492525,0.29965660836883345,0.01283219057593954,0.0881753153092224,0.15915812983646094,0.38754429240926647,0.4930403707905612,0.4999999940824552,-0.08099398884371889,-0.020022138682842305,-0.008828681334947075,0.12738063630241292,0.035773668831434624,-0.0684072323333208,0.47126554860028125,0.4999999999999062,0.12586805972154524,-0.026579002074751945,-0.2761613459939153,0.014454961068185113,0.005033090103795157,0.07568414519845867,-0.030521502624850427,0.004127360962131177,-0.13453004742230823,0.011362749837621089,-0.08226341918755242,0.029815680165546143,0.2780342773888842,-6.9590821458742624e-06,0.49999977342933866,-0.005781276378322042,0.45103128902370293,0.05030488400247446,0.3337417426984175,0.15898806342200933,0.19704479544958076
S100A4,0.03972066870989932,0.4966254557022549,0.0,0.003992801135563329,0.4999999999999062,-0.011674371051299759,0.05988383157596466,0.16058036767988082,0.4992172876687798,0.4986564721508905,0.49999408288615543,0.4977905841893392,0.40477576419852823,0.00036017436012625303,0.4999999999999062,-0.009594215939242368,0.4999036255634528,0.0441303121388843,-0.07518910142756785,0.05174594428163193,0.4999999999999062,-0.004578625051195662,0.032079715780982565,0.26274496426605043,0.036368834351948265,-0.16235735013758945,0.010468970541107403,0.4999991951213558,0.09831712631523137,0.4999999999999062,0.0021885031298249924,0.006642350164254074,0.4950092311911105,0.001879082296867951,0.49863988355080713,0.15309106980762788,-0.0010578072559785934,0.28526633374010935,0.4206613380600954,0.21401484562295636,0.49999999999746836,0.006455566916276467,-0.02723646351460085,-0.07246957047183089,0.4982210303417748,-0.16941549650044274,0.0031956199885686543,0.04115637149119333,-0.048986519316909005,0.14427539715043536
JUN,0.49999659103427396,0.051020660431794984,-0.013614444430132044,0.0,-0.004313447337434884,0.4999999999999062,0.17273413103237134,0.0751117486113132,-0.02751669877309959,0.49999999536374595,0.009446619016304836,0.022394035571520754,-0.028174261517789234,0.11623217882009751,0.02609360921995496,0.4999998940777852,0.0537511493459355,0.4055139137861372,0.045637890406044934,0.03744352208173074,0.020139269237661073,-0.0009230838296755417,0.4999999999999062,0.020648142094151667,0.0008754582812685596,-0.0016728741431734084,-0.0008833060311355112,-0.0184283472602087,0.06945286709701382,0.49896726584384443,0.10949285943891163,0.45912455274770847,0.025682367136181772,0.17123578777207826,8.597403971633e-06,-0.003290101533992562,-0.0488276108914959,0.0244482428396533,0.011319198376144368,-0.017883516421820178,-0.06393608932186934,0.004090363592158974,0.32044531706637713,0.2609473106103414,-0.005490615232293106,-0.002729397027260272,-0.010364600135508661,-0.0118155788666372,0.06300978723978701,-0.0019848236831061516
KLRB1,0.07917507564969439,0.4999999114904464,0.4999999999999062,0.016732070153463896,0.0,-0.008104434337489308,0.0825439441482263,0.08161285140919028,0.15187307139662287,-0.09893584034118075,0.1360236684501418,0.43946821296612315,0.49999999999989797,0.48769469005675803,0.35226162829466146,0.07648230547344126,0.07888456126707044,-0.020486252540752203,-0.005260953786221045,0.2087591346998212,0.36815393842071187,-0.03624563803879699,0.21172919771401177,0.3109793498809682,0.4860409278669793,0.12012975006512783,0.2529863999217784,0.027110696365881592,0.08680650977253901,-0.09959574023823803,-0.004742967929944553,0.1304468552586946,0.16395712151129727,-0.0054294945411709206,0.0026250681715670465,0.4987226930079378,0.08156712673570621,0.4392965396079068,0.4662644037255149,0.020149157536732853,0.06632005368209071,0.0349584589365356,0.03472876143054515,-0.018259203105210453,0.2495379705302757,-0.027002525679187483,-0.16871418389376402,0.16961960800748888,0.32284816177113995,-0.02435194271029506
FOS,0.49999995195300206,0.05140082538327584,0.002954668991362097,0.4999999999999062,0.06059182343375391,0.0,0.017974454854953748,0.4999999996089671,-0.07799854045350163,0.4999999999996366,0.011428740093821221,0.10831760625535969,0.006580747756027017,-0.012027649351249448,-0.0010602825171208696,0.49365228144999207,0.0019886529775658968,0.44986288766490756,0.012006657630135531,-0.03734089618270209,0.026340693275014093,0.021438235362164826,0.4999999999999062,0.005017389413462081,-0.0029063321846939383,0.1571685758227922,0.00019661200547205215,0.011648198944654076,0.028964405965555717,0.035682055490872555,0.20100079085983047,-0.025772489007572896,0.037727963624924477,0.03212110447502614,0.0034855516825231803,-0.011093897462793323,0.013027060379912858,0.08789177214347776,0.024278804542785415,0.017561840210284063,0.0023155921968264215,0.014366001658907446,0.008401617069878187,0.0030633421495323,-0.010668928573866476,-0.002266058793138681,0.3311478305984672,-0.018518754469875942,0.04804982362025034,0.45263023510498535
RGCC,0.038167933195575654,0.12132896897054768,0.21525966898653293,0.292208759179691,0.1273186176541079,0.12345801646617449,0.0,0.32281843096814833,-0.01669326622107592,0.06871351248689139,0.35002286734458643,0.4999998485659237,-0.15143290506600648,0.49106313300633764,0.023163660412305442,0.22611700268676604,0.4932987183534253,0.4808580664483577,0.4470158687724898,0.026953379140227662,-0.024609799442868008,0.032673790988390294,-0.04008238735811165,-0.013230084372795381,0.4175837327256292,0.004953779792045587,0.49188631023520946,0.3913751607025454,-0.09295402573566136,0.49999999302367204,0.45866945647383384,0.4184397500133703,0.024057614703935415,0.4909221480851793,-0.00027227940184909594,-0.023913206312949797,0.08048745007221114,-0.02649100978479335,0.49478425226395684,0.12015030701968676,0.024552875431971932,-0.276099832733819,0.4963360653026069,0.009313045642565076,0.01688477156435164,0.2301402133799927,-0.031116230222015262,-0.014735301408040358,0.4933210840746094,0.17873341152313316
ZFP36,0.4999999987620468,0.4667498335627084,0.2977574818718235,0.3649474699636438,0.1018463049098498,0.4999999946917896,0.3925971853788003,0.0,0.1303831375686355,0.013555546606191293,0.22678603623843752,0.03861629215235607,-0.01256103275495124,0.494754103202362,0.16426968928444308,-0.02021659188145042,0.07087902814129265,0.009235369388239878,0.11556693216525049,0.3720539900971922,-0.0009818401242219776,0.026481064440104007,0.41425985637879736,-0.026531631770306263,0.12734511885588495,-0.007775957649283294,0.4744858793471556,-0.0011002627179811375,-0.02039688812870666,0.4999957064189955,0.12527588030856895,-0.05207021003496759,0.011528113630858594,0.11989078073644543,0.001693504500962173,0.3090982329418681,0.4081069488856579,-0.09086123410334646,0.4595581762168276,0.0024252654713964317,0.10362467320955604,0.007814645585889068,0.380279397660503,0.4999999999999062,0.018371768123788823,0.017008124840361627,-0.010030121202868503,-0.04185867804247645,0.20375582727695962,0.008324968658735665
GNLY,-0.00502897591436835,0.4999999999918646,0.4991545201298402,-0.007515355706829707,0.010172963802163149,0.06281787592268462,-0.004639409560603602,0.07359805954825294,0.0,0.0004886299189517107,0.006697917187259983,0.00039129616134137013,0.3592605594407714,0.004393359693498189,0.04083598052789472,-0.01024486561986171,0.04295406184363448,0.00027513674031953705,0.00014408976599311618,7.470634425366107e-05,-0.0001959151454378194,0.001390371109477595,0.009391355653149192,0.0077462954104351445,0.00023440911879790693,0.00652918827164739,-0.006977677491600054,0.0011063209117185835,0.4999999999999062,-0.07359149783720986,-0.00014839653649501017,-0.0008194666648216886,0.01990738202627773,-0.0003681160622043267,0.4001135603549316,0.018066519681971482,-0.0002640176535196881,-0.0033988911291774615,0.0003770901623830758,-0.016462113900618136,-0.0002296868981622735,-0.002073713884105488,-0.0011124481387805307,0.3115580529497216,-0.012611414806181442,0.00445690105676233,0.004881294439585293,-0.01812845804043517,0.0032840019404152265,0.05430172780206033
KLF6,0.22781715748649367,0.34910034860293715,0.49977633158220014,0.4999999977411286,-0.17926892371478909,0.4999999999884063,-0.07824472246182601,-0.000127734689340131,-4.2184772896081135e-05,0.0,0.49999999990327104,0.21676093710883026,0.48968737060417367,0.2792787971840939,0.4999996202908855,0.4996995599446553,-0.17842172588652028,0.3131186585133626,0.028215013090622132,0.27710307370455467,-0.11526256268898827,-0.34858579375270404,0.4919601098979096,-0.001637006229323168,0.2155349332185783,0.057834999456184644,-0.00594930053230458,-0.002666524266223158,-0.025358332391277716,0.49883238599380186,0.4981774422350991,0.07963478647943034,0.10155054396559615,0.045619247866731216,0.08728121371665953,-0.03289149113936718,0.2608960438410134,0.004551781730658622,0.4981997824924056,0.015306209429295281,0.23124280484081572,0.3099396915818682,0.24506377096339016,0.010583422292134936,0.025220214468128166,0.4554087632487652,-0.07839104582905654,-0.010899450643086728,-0.00925554481859392,-0.009749933011553469
